parmoeda,frequencia,datetime,timestamp,GEP,vela1,vela2,vela3,operacao,ultima_vela,vela_abertura
EURJPY,123.45,2023-08-02 00:10:49.513048,00:10:50,NEUTRO,0.0,0.0,2.0,CALL,157.3655,157.386
EURUSD,124.67,2023-08-02 00:11:49.859437,00:11:50,NEUTRO,2.0,0.0,0.0,CALL,1.098275,1.09825
EURJPY,123.45,2023-08-02 00:11:49.859437,00:11:50,NEUTRO,0.0,1.0,0.0,CALL,157.37,157.3825
EURGBP,123.99,2023-08-02 00:11:49.859437,00:11:50,NEUTRO,0.0,4.0,0.0,PUT,0.8603,0.8601
EURUSD,124.67,2023-08-02 00:12:50.229890,00:12:50,ALTA,0.0,5.0,0.0,PUT,1.098135,1.09827
EURJPY,123.45,2023-08-02 00:12:50.229890,00:12:50,NEUTRO,5.0,1.0,5.0,CALL,157.3665,157.3695
EURGBP,123.99,2023-08-02 00:12:50.229890,00:12:50,NEUTRO,4.0,0.0,4.0,CALL,0.860205,0.860285
EURUSD,124.67,2023-08-02 00:13:49.438790,00:13:50,NEUTRO,0.0,0.0,0.0,CALL,1.098225,1.09815
EURJPY,123.45,2023-08-02 00:13:49.438790,00:13:50,NEUTRO,0.0,5.0,0.0,CALL,157.37,157.372
EURGBP,123.99,2023-08-02 00:13:49.438790,00:13:50,NEUTRO,0.0,4.0,0.0,PUT,0.86028,0.86021
EURUSD,124.67,2023-08-02 00:14:49.813945,00:14:50,NEUTRO,1.0,2.0,1.0,PUT,1.098195,1.098155
EURJPY,123.45,2023-08-02 00:14:49.813945,00:14:50,ALTA,4.0,4.0,0.0,PUT,157.37,157.373
EURUSD,124.67,2023-08-02 00:15:50.171111,00:15:50,NEUTRO,4.0,1.0,5.0,PUT,1.09829,1.0982
EURJPY,123.45,2023-08-02 00:15:50.171111,00:15:50,ALTA,2.0,5.0,0.0,PUT,157.387,157.3705
EURUSD,124.67,2023-08-02 00:16:49.520546,00:16:50,ALTA,2.0,5.0,0.0,PUT,1.098145,1.098265
EURJPY,123.45,2023-08-02 00:16:49.520546,00:16:50,ALTA,4.0,5.0,0.0,CALL,157.381,157.3835
EURGBP,123.99,2023-08-02 00:16:49.520546,00:16:50,NEUTRO,5.0,1.0,4.0,PUT,0.86031,0.86036
EURUSD,124.67,2023-08-02 00:17:49.952749,00:17:50,NEUTRO,5.0,4.0,0.0,PUT,1.09808,1.09825
EURJPY,123.45,2023-08-02 00:17:49.952749,00:17:50,NEUTRO,5.0,5.0,0.0,CALL,157.3685,157.384
EURUSD,124.67,2023-08-02 00:18:50.278930,00:18:50,NEUTRO,0.0,5.0,0.0,CALL,1.09816,1.098075
EURJPY,123.45,2023-08-02 00:18:50.278930,00:18:50,ALTA,5.0,2.0,5.0,CALL,157.3735,157.368
EURUSD,124.67,2023-08-02 00:19:49.601992,00:19:50,ALTA,0.0,0.0,4.0,CALL,1.09827,1.09812
EURJPY,123.45,2023-08-02 00:19:49.601992,00:19:50,NEUTRO,0.0,2.0,1.0,CALL,157.375,157.3615
EURUSD,124.67,2023-08-02 00:20:50.068812,00:20:50,NEUTRO,4.0,1.0,1.0,CALL,1.098235,1.09827
EURGBP,123.99,2023-08-02 00:20:50.068812,00:20:50,NEUTRO,0.0,1.0,0.0,CALL,0.860275,0.86025
EURUSD,124.67,2023-08-02 00:22:49.476366,00:22:50,NEUTRO,1.0,0.0,2.0,PUT,1.098405,1.09832
